borough,bezirk,minRent,avgRent,maxRent,minBuy,avgBuy,maxBuy,url
Grünau (Köpenick),Treptow-Köpenick,11.51,13.68,20.91,3317,3886,7401,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/gruenau-koepenick
Johannisthal (Treptow),Treptow-Köpenick,9.95,13.49,22.75,3285,3878,6264,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/johannisthal-treptow
Köpenick (Köpenick),Treptow-Köpenick,9.29,13.4,20.12,3327,3936,7101,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/koepenick-koepenick
Müggelheim (Köpenick),Treptow-Köpenick,9.82,13.01,19.61,2749,3527,6775,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/mueggelheim-koepenick
Niederschöneweide (Treptow),Treptow-Köpenick,11.41,13.21,21.66,2964,3634,6782,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/niederschoeneweide-treptow
Oberschöneweide (Köpenick),Treptow-Köpenick,9.5,12.78,20.11,2959,3634,6827,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/oberschoeneweide-koepenick
Rahnsdorf (Köpenick),Treptow-Köpenick,11.46,13.45,19.39,3024,3766,6407,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/rahnsdorf-koepenick
Schmöckwitz (Köpenick),Treptow-Köpenick,11.06,12.7,19.61,2759,3416,6682,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/schmoeckwitz-koepenick
Baumschulenweg (Treptow),Treptow-Köpenick,9.45,12.99,22.85,3196,3839,6533,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/baumschulenweg-treptow
Plänterwald (Treptow),Treptow-Köpenick,11.53,13.24,23.58,3504,4121,8489,https://www.immobilienscout24.de/immobilienpreise/berlin/berlin/plaenterwald-treptow
